TYPE,TRACE,A,B,C,D

DATE & TIME,06Nov2008 10:36PM WST
INSTRUMENT,86142A,SN US38380435,REV B.04.02
AIR/VACUUM/STP,VACUUM

TRACE,A,B,C,D
START,1400.000,1400.000,1400.000,1400.000
STOP,1700.000,1700.000,1700.000,1700.000
HORIZONTAL SCALE,nm,nm,nm,nm
LENGTH (pts),1001,1001,1001,1001
RBW (nm),0.10,0.10,0.10,0.10
VBW (Hz),194,194,194,194

REFERENCE LEVEL (dBm),-30.00,-30.00,-30.00,-47.00
VERTICAL SCALE,dBm,dBm,dBm,dBm
SENSITIVITY (dBm),-72.21,-72.21,-72.21,-72.21

AVERAGING,OFF,OFF,OFF,OFF
MIN,OFF,OFF,OFF,OFF
MAX,OFF,OFF,OFF,OFF
SMOOTHING,OFF,OFF,OFF,OFF
TRACE MATH,OFF,OFF,OFF,OFF
OFFSET (dB),0.000,0.000,0.000,0.000

INDEX,A,B,C,D
432,-51.569,-53.991,-52.707,-54.595
433,-51.160,-54.218,-52.647,-55.082
434,-50.976,-53.569,-54.768,-52.351
435,-51.743,-54.283,-54.281,-52.918
436,-51.260,-54.016,-52.904,-53.345
437,-50.848,-53.576,-52.313,-55.568
438,-51.707,-54.535,-53.863,-52.879
439,-51.231,-53.694,-54.784,-52.757
440,-51.001,-54.052,-53.023,-52.883
441,-51.475,-54.312,-53.075,-55.058
442,-51.403,-53.887,-52.777,-54.100
443,-50.959,-54.111,-54.870,-52.591
444,-51.333,-53.967,-54.871,-52.820
445,-51.652,-54.358,-53.018,-54.424
446,-50.990,-54.070,-52.824,-55.178
447,-51.242,-53.838,-53.592,-52.595
448,-51.629,-54.638,-55.466,-52.994
449,-51.068,-53.793,-53.376,-53.248
450,-50.967,-54.445,-52.715,-55.571
451,-51.672,-54.412,-53.405,-53.145
452,-51.129,-53.875,-54.620,-52.946
453,-51.047,-54.477,-55.047,-52.736
454,-51.634,-53.913,-52.878,-55.461
455,-51.552,-54.596,-53.246,-54.170
456,-51.057,-53.971,-54.170,-52.676
457,-51.396,-54.211,-54.860,-53.196
458,-51.596,-54.826,-53.611,-54.587
459,-50.890,-53.641,-52.518,-55.536
460,-51.319,-54.612,-53.774,-52.724
461,-51.648,-54.627,-55.375,-53.164
462,-51.169,-54.277,-54.286,-53.621
463,-51.408,-54.660,-52.931,-55.645
464,-51.583,-54.073,-53.354,-53.185
465,-51.145,-54.780,-55.417,-52.819
466,-50.901,-54.040,-54.600,-53.315
467,-51.628,-54.816,-53.607,-55.378
468,-51.485,-54.705,-53.232,-53.515
469,-51.125,-53.792,-54.673,-52.920
470,-51.623,-55.118,-55.247,-53.529
471,-51.496,-54.250,-53.358,-55.841
472,-51.138,-54.673,-52.917,-53.956
473,-51.389,-54.700,-54.042,-53.513
474,-51.441,-54.539,-55.476,-53.478
475,-51.161,-54.812,-53.456,-55.409
476,-51.232,-54.132,-53.254,-54.888
477,-51.613,-55.089,-53.994,-53.405
478,-51.156,-54.198,-55.368,-53.072
479,-51.166,-54.679,-54.203,-54.506
480,-51.591,-54.725,-53.409,-55.835
481,-51.381,-54.572,-53.897,-53.026
482,-51.056,-54.989,-55.313,-52.944
483,-51.740,-54.149,-54.787,-54.408
484,-51.540,-55.139,-53.408,-56.017
485,-51.089,-54.315,-53.552,-52.537
486,-51.385,-54.895,-55.339,-53.078
487,-51.667,-54.795,-54.842,-54.367
488,-51.157,-54.471,-53.230,-55.627
489,-51.271,-54.893,-53.253,-52.895
490,-51.654,-54.549,-55.627,-53.242
491,-51.285,-55.121,-54.831,-54.440
492,-51.005,-54.155,-53.237,-55.353
493,-51.489,-55.161,-53.780,-53.329
494,-51.365,-54.712,-55.577,-53.208
495,-51.249,-54.549,-54.735,-54.608
496,-51.651,-55.080,-53.564,-55.427
497,-51.501,-54.650,-53.884,-53.277
498,-51.289,-54.952,-55.162,-52.837
